Stage,Round,Date,Team A,Team B,A Score,B Score,Best of,Winner,Loser,Score,,,,,
IEM Katowice 2024 Group B,2 Low,05 February 2024,GL,HEROIC,1,2,3,HEROIC,GL,33%,,,,,
IEM Katowice 2024 Group B,2 Low,05 February 2024,G2,Monte,2,1,3,G2,Monte,33%,,,,,
IEM Katowice 2024 Group B,3 High,06 February 2024,ENCE,Mouz,0,2,3,Mouz,ENCE,100%,,,,,
IEM Katowice 2024 Group B,3 Low,06 February 2024,HEROIC,G2,0,2,3,G2,HEROIC,100%,,,,,
IEM Katowice 2024 Playoffs,1,09 February 2024,ENCE,Falcons,1,2,3,Falcons,ENCE,33%,,,,,
IEM Katowice 2024 Playoffs,1,09 February 2024,FaZe,G2,2,0,3,FaZe,G2,100%,,,,,
IEM Katowice 2024 Playoffs,2,10 February 2024,Spirit,Falcons,2,0,3,Spirit,Falcons,100%,,,,,
IEM Katowice 2024 Playoffs,2,10 February 2024,Mouz,FaZe,0,2,3,FaZe,Mouz,100%,,,,,
IEM Katowice 2024 Playoffs,3,11 February 2024,Spirit,FaZe,3,0,1,Spirit,FaZe,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,1,14 February 2024,FaZe,9Pandas,13,6,1,FaZe,9Pandas,37%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,1,14 February 2024,VP,SAW,13,6,1,VP,SAW,37%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,1,14 February 2024,NAVI,KOI,13,8,1,NAVI,KOI,24%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,1,14 February 2024,G2,ITB,13,3,1,G2,ITB,63%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,1,14 February 2024,EF,NIP,13,11,1,EF,NIP,8%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,1,14 February 2024,AMKAL,ENTERPRISE,9,13,1,ENTERPRISE,AMKAL,18%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,1,14 February 2024,BetBoom,Fnatic,6,13,1,Fnatic,BetBoom,37%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,1,14 February 2024,3DMAX,Falcons,8,13,1,Falcons,3DMAX,24%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,2 High,14 February 2024,FaZe,Falcons,13,7,1,FaZe,Falcons,30%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,2 High,14 February 2024,G2,EF,16,13,1,G2,EF,10%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,2 High,14 February 2024,VP,Fnatic,13,3,1,VP,Fnatic,63%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,2 High,14 February 2024,NAVI,ENTERPRISE,13,6,1,NAVI,ENTERPRISE,37%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,2 Low,14 February 2024,AMKAL,NIP,22,20,1,AMKAL,NIP,5%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,2 Low,14 February 2024,9Pandas,SAW,13,1,1,9Pandas,SAW,86%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,2 Low,14 February 2024,BetBoom,ITB,13,1,1,BetBoom,ITB,86%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,2 Low,14 February 2024,3DMAX,KOI,8,13,1,KOI,3DMAX,24%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,3 High,15 February 2024,FaZe,G2,0,2,3,G2,FaZe,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,3 High,15 February 2024,NAVI,VP,0,2,3,VP,NAVI,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,3 Mid,15 February 2024,EF,Falcons,13,5,1,EF,Falcons,44%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,3 Mid,15 February 2024,9Pandas,KOI,11,13,1,KOI,9Pandas,8%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,3 Mid,15 February 2024,ENTERPRISE,BetBoom,10,13,1,BetBoom,ENTERPRISE,13%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,3 Mid,15 February 2024,Fnatic,AMKAL,13,11,1,Fnatic,AMKAL,8%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,3 Low,15 February 2024,SAW,NIP,2,0,3,SAW,NIP,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,3 Low,15 February 2024,ITB,3DMAX,1,2,3,3DMAX,ITB,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,4 High,16 February 2024,Fnatic,KOI,0,2,3,KOI,Fnatic,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,4 High,16 February 2024,FaZe,EF,2,0,3,FaZe,EF,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,4 High,16 February 2024,NAVI,BetBoom,2,1,3,NAVI,BetBoom,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,4 Low,16 February 2024,Falcons,AMKAL,1,2,3,AMKAL,Falcons,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,4 Low,16 February 2024,9Pandas,3DMAX,2,1,3,9Pandas,3DMAX,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,4 Low,16 February 2024,ENTERPRISE,SAW,0,2,3,SAW,ENTERPRISE,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,5,17 February 2024,9Pandas,AMKAL,1,2,3,AMKAL,9Pandas,33%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,5,17 February 2024,Fnatic,SAW,0,2,3,SAW,Fnatic,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR A,5,17 February 2024,EF,BetBoom,2,0,3,EF,BetBoom,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,1,19 February 2024,Vitality,GL,13,2,1,Vitality,GL,73%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,1,19 February 2024,Mouz,Guild.E,9,13,1,Guild.E,Mouz,18%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,1,19 February 2024,Spirit,ENCE,13,0,1,Spirit,ENCE,100%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,1,19 February 2024,Monte,ECSTATIC,9,13,1,ECSTATIC,Monte,18%,,,,,
PGL Copenhagen Major 2024 Europe RMR B,1,19 February 2024,Apeks,OG,13,5,1,Apeks,OG,44%,,,,,
